map_name,condition,circuit_id,leg_index,leg_m,start_lat,start_lon,end_lat,end_lon,pc1,pc2,decision_pressure,parallel_affordance,crossing_density,exit_clarity,contour_crossing_guidance,HANDRAIL_FOLLOW,LINE_CROSSING,ATTACK_POINT,DIRECT_RISK_RUN,RELIEF_CROSSING_GUIDANCE,SAFETY_RECOVERY,circuit_fitness
langrune,B-open,9a66782a54,6,124.0,49.324282,-0.376222,49.325381,-0.375912,16.7811,-81.7615,0.6075,0.0,0.0,0.3073,0.2461,0.0,0.0,0.3464,0.209,0.1364,0.2611,73.9141
langrune,B-open,9a66782a54,7,209.0,49.325381,-0.375912,49.324607,-0.378545,10.5592,0.0948,0.926,0.0,0.0,0.0,0.1481,0.0,0.0,0.5,0.0,0.0,0.426,73.9141
langrune,B-open,9a66782a54,8,86.8,49.324607,-0.378545,49.325087,-0.379492,24.7629,-175.7398,0.1977,0.0,0.0,0.8023,0.0,0.0,0.0,0.0988,0.4479,0.0,0.0988,73.9141
langrune,B-open,9a66782a54,9,102.0,49.325087,-0.379492,49.325378,-0.378155,14.9349,-34.0873,0.9628,0.0,0.0,0.0326,0.0095,0.0,0.0,0.4837,0.0894,0.0017,0.4791,73.9141
langrune,B-open,9a66782a54,10,143.0,49.325378,-0.378155,49.326667,-0.378204,10.8048,0.1094,0.9524,0.0,0.0,0.0,0.0952,0.0,0.0,0.5,0.0,0.0,0.4524,73.9141
langrune,B-open,9a66782a54,11,174.0,49.326667,-0.378204,49.325989,-0.376035,11.247,0.1356,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,73.9141
langrune,B-open,9a66782a54,12,126.6,49.325989,-0.376035,49.324852,-0.375897,11.0275,0.1226,0.9764,0.0,0.0,0.0,0.0473,0.0,0.0,0.5,0.0,0.0,0.4764,73.9141
langrune,B-open,9a66782a54,13,100.0,49.324852,-0.375897,49.324075,-0.3752,11.247,0.1356,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,73.9141
langrune,B-open,9a66782a54,14,142.3,49.324075,-0.3752,49.323773,-0.373288,11.247,0.1356,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,73.9141
langrune,B-open,9a66782a54,15,165.2,49.323773,-0.373288,49.32524,-0.372913,11.247,0.1356,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,73.9141
langrune,B-open,9a66782a54,16,121.5,49.32524,-0.372913,49.324515,-0.371655,11.247,0.1356,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,73.9141
langrune,B-open,9a66782a54,17,139.3,49.324515,-0.371655,49.325385,-0.370269,9.711,0.6252,0.8348,0.3304,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.3348,73.9141
langrune,B-open,9a66782a54,18,308.9,49.325385,-0.370269,49.32262,-0.370746,10.9845,0.12,0.9717,0.0,0.0,0.0,0.0565,0.0,0.0,0.5,0.0,0.0,0.4717,73.9141
langrune,B-handrail,9a66782a54,0,148.7,49.32262,-0.370746,49.323751,-0.371847,11.247,0.1356,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,73.9141
langrune,B-handrail,9a66782a54,1,163.7,49.323751,-0.371847,49.322701,-0.373436,7.6832,-2.9111,0.5621,0.0,0.0,0.4379,0.0,0.0,0.0,0.2811,0.0,0.0,0.2811,73.9141
langrune,B-handrail,9a66782a54,2,142.0,49.322701,-0.373436,49.323697,-0.374669,11.247,0.1356,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,73.9141
langrune,B-handrail,9a66782a54,3,90.9,49.323697,-0.374669,49.323658,-0.375924,9.8302,0.0516,0.8475,0.0,0.0,0.0,0.305,0.0,0.0,0.5,0.0,0.0,0.3475,73.9141
langrune,B-handrail,9a66782a54,4,98.9,49.323658,-0.375924,49.324309,-0.374989,9.5478,0.0349,0.8171,0.0,0.0,0.0,0.3658,0.0,0.0,0.5,0.0,0.0,0.3171,73.9141
langrune,B-handrail,9a66782a54,5,89.2,49.324309,-0.374989,49.324282,-0.376222,10.4361,0.0875,0.9127,0.0,0.0,0.0,0.1746,0.0,0.0,0.5,0.0,0.0,0.4127,73.9141
langrune,B-handrail,9a66782a54,6,124.0,49.324282,-0.376222,49.325381,-0.375912,16.7811,-81.7615,0.6075,0.0,0.0,0.3073,0.2461,0.0,0.0,0.3464,0.209,0.1364,0.2611,73.9141
langrune,B-handrail,9a66782a54,7,209.0,49.325381,-0.375912,49.324607,-0.378545,10.5592,0.0948,0.926,0.0,0.0,0.0,0.1481,0.0,0.0,0.5,0.0,0.0,0.426,73.9141
langrune,B-handrail,9a66782a54,8,86.8,49.324607,-0.378545,49.325087,-0.379492,24.7629,-175.7398,0.1977,0.0,0.0,0.8023,0.0,0.0,0.0,0.0988,0.4479,0.0,0.0988,73.9141
langrune,B-handrail,9a66782a54,9,102.0,49.325087,-0.379492,49.325378,-0.378155,14.9349,-34.0873,0.9628,0.0,0.0,0.0326,0.0095,0.0,0.0,0.4837,0.0894,0.0017,0.4791,73.9141
langrune,B-handrail,9a66782a54,10,143.0,49.325378,-0.378155,49.326667,-0.378204,10.8048,0.1094,0.9524,0.0,0.0,0.0,0.0952,0.0,0.0,0.5,0.0,0.0,0.4524,73.9141
langrune,B-handrail,9a66782a54,11,174.0,49.326667,-0.378204,49.325989,-0.376035,11.247,0.1356,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,73.9141
langrune,B-handrail,9a66782a54,12,126.6,49.325989,-0.376035,49.324852,-0.375897,11.0275,0.1226,0.9764,0.0,0.0,0.0,0.0473,0.0,0.0,0.5,0.0,0.0,0.4764,73.9141
langrune,B-handrail,9a66782a54,13,100.0,49.324852,-0.375897,49.324075,-0.3752,11.247,0.1356,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,73.9141
langrune,B-handrail,9a66782a54,14,142.3,49.324075,-0.3752,49.323773,-0.373288,11.247,0.1356,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,73.9141
langrune,B-handrail,9a66782a54,15,165.2,49.323773,-0.373288,49.32524,-0.372913,11.247,0.1356,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,73.9141
langrune,B-handrail,9a66782a54,16,121.5,49.32524,-0.372913,49.324515,-0.371655,11.247,0.1356,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,73.9141
langrune,B-handrail,9a66782a54,17,139.3,49.324515,-0.371655,49.325385,-0.370269,9.711,0.6252,0.8348,0.3304,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.3348,73.9141
langrune,B-handrail,9a66782a54,18,308.9,49.325385,-0.370269,49.32262,-0.370746,10.9845,0.12,0.9717,0.0,0.0,0.0,0.0565,0.0,0.0,0.5,0.0,0.0,0.4717,73.9141
