map_name,circuit_id,td,course_type,leg_index,leg_m,fitness_total,parallel_affordance,crossing_density,exit_clarity,contour_crossing_guidance,HANDRAIL_FOLLOW,LINE_CROSSING,ATTACK_POINT,DIRECT_RISK_RUN,RELIEF_CROSSING_GUIDANCE,SAFETY_RECOVERY,score_a,penalty_b,score_d,score_h,n_unique_tags
crohot,5943c0327c,5,forest,0,367.5,56.64,1.0,0.1313,0.207,1.0,0.4549,0.115,0.4486,0.0,0.4549,0.0,0.8702,0.0601,0.495,0.7354,
crohot,5943c0327c,5,forest,1,508.1,56.64,1.0,0.1543,0.1692,1.0,0.4113,0.1387,0.4795,0.0,0.4113,0.0,0.8702,0.0601,0.495,0.7354,
crohot,5943c0327c,5,forest,2,578.4,56.64,0.5002,0.1401,0.0061,1.0,0.0391,0.1396,0.5666,0.0,0.0783,0.0,0.8702,0.0601,0.495,0.7354,
crohot,5943c0327c,5,forest,3,574.7,56.64,1.0,0.1721,0.9618,1.0,0.9807,0.0728,0.0224,0.0,0.9807,0.0,0.8702,0.0601,0.495,0.7354,
crohot,5943c0327c,5,forest,4,665.8,56.64,0.5501,0.0793,0.9111,1.0,0.5251,0.036,0.048,0.0,0.9545,0.0,0.8702,0.0601,0.495,0.7354,
crohot,5943c0327c,5,forest,5,353.3,56.64,0.0,0.0,0.955,1.0,0.0,0.0,0.0225,0.0,0.9772,0.0,0.8702,0.0601,0.495,0.7354,
crohot,5943c0327c,5,forest,6,663.0,56.64,0.0,0.0,0.9881,1.0,0.0,0.0,0.0059,0.0,0.994,0.0,0.8702,0.0601,0.495,0.7354,
crohot,5943c0327c,5,forest,7,574.1,56.64,0.2242,0.2451,0.0,1.0,0.0,0.2451,0.6226,0.0,0.0,0.0,0.8702,0.0601,0.495,0.7354,
crohot,5943c0327c,5,forest,8,400.2,56.64,0.1609,0.116,0.1619,1.0,0.0647,0.1048,0.4677,0.0,0.4024,0.0,0.8702,0.0601,0.495,0.7354,
crohot,5943c0327c,5,forest,9,651.9,56.64,0.446,0.146,0.3872,1.0,0.2775,0.1121,0.3512,0.0,0.6222,0.0,0.8702,0.0601,0.495,0.7354,
crohot,5943c0327c,5,forest,10,147.5,56.64,0.0,0.0,0.1265,0.5223,0.0,0.0,0.4368,0.0,0.1858,0.2086,0.8702,0.0601,0.495,0.7354,
crohot,5943c0327c,5,forest,11,193.3,56.64,0.9961,0.0573,0.459,1.0,0.6748,0.0415,0.286,0.0,0.6775,0.0,0.8702,0.0601,0.495,0.7354,
crohot,5943c0327c,5,forest,12,194.4,56.64,0.0527,0.2335,0.4036,0.9084,0.0335,0.177,0.3678,0.0,0.5771,0.0279,0.8702,0.0601,0.495,0.7354,
crohot,5943c0327c,5,forest,13,1314.4,56.64,1.0,0.133,0.9229,1.0,0.9607,0.0594,0.0437,0.0,0.9607,0.0,0.8702,0.0601,0.495,0.7354,
crohot,5943c0327c,5,forest,14,493.2,56.64,1.0,0.0404,0.9721,1.0,0.9859,0.0169,0.0145,0.0,0.9859,0.0,0.8702,0.0601,0.495,0.7354,
crohot,5943c0327c,5,forest,15,474.0,56.64,0.0,0.067,0.956,1.0,0.0,0.0286,0.0235,0.0,0.9778,0.0,0.8702,0.0601,0.495,0.7354,
crohot,5943c0327c,5,forest,16,577.6,56.64,0.0676,0.1764,0.0,1.0,0.0,0.1764,0.5882,0.0,0.0,0.0,0.8702,0.0601,0.495,0.7354,
crohot,5943c0327c,5,forest,17,529.0,56.64,0.0848,0.0833,0.0233,1.0,0.0129,0.0822,0.5291,0.0,0.1526,0.0,0.8702,0.0601,0.495,0.7354,
crohot,5943c0327c,5,forest,18,280.4,56.64,1.0,0.1668,0.9631,1.0,0.9814,0.0704,0.0215,0.0,0.9814,0.0,0.8702,0.0601,0.495,0.7354,
crohot,4d4f1ba801,5,forest,0,853.5,30.2324,1.0,0.2003,0.8834,1.0,0.9399,0.0941,0.07,0.0,0.9399,0.0,0.8702,0.097,0.5253,0.5158,
crohot,4d4f1ba801,5,forest,1,496.4,30.2324,0.0,0.0,0.0,1.0,0.0,0.0,0.5,0.0,0.0,0.0,0.8702,0.097,0.5253,0.5158,
crohot,4d4f1ba801,5,forest,2,608.5,30.2324,0.0142,0.0,0.0,0.3404,0.0,0.0,0.5,0.0,0.0,0.3298,0.8702,0.097,0.5253,0.5158,
crohot,4d4f1ba801,5,forest,3,172.3,30.2324,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.8702,0.097,0.5253,0.5158,
crohot,4d4f1ba801,5,forest,4,255.5,30.2324,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.8702,0.097,0.5253,0.5158,
crohot,4d4f1ba801,5,forest,5,352.8,30.2324,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.8702,0.097,0.5253,0.5158,
crohot,4d4f1ba801,5,forest,6,316.8,30.2324,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.8702,0.097,0.5253,0.5158,
crohot,4d4f1ba801,5,forest,7,628.1,30.2324,0.1037,0.0,0.0,0.8693,0.0,0.0,0.5,0.0,0.0,0.0654,0.8702,0.097,0.5253,0.5158,
crohot,4d4f1ba801,5,forest,8,459.6,30.2324,0.4938,0.2686,0.7206,1.0,0.4192,0.1525,0.1772,0.0,0.8489,0.0,0.8702,0.097,0.5253,0.5158,
crohot,4d4f1ba801,5,forest,9,70.7,30.2324,0.0,0.1288,0.4522,0.848,0.0,0.0939,0.3092,0.089,0.5702,0.0425,0.8702,0.097,0.5253,0.5158,
crohot,4d4f1ba801,5,forest,10,615.8,30.2324,0.1697,0.085,0.1461,1.0,0.0649,0.0775,0.4632,0.0,0.3822,0.0,0.8702,0.097,0.5253,0.5158,
crohot,4d4f1ba801,5,forest,11,1110.7,30.2324,0.2826,0.045,0.0,1.0,0.0,0.045,0.5225,0.0,0.0,0.0,0.8702,0.097,0.5253,0.5158,
crohot,4d4f1ba801,5,forest,12,289.4,30.2324,0.2776,0.0995,0.9722,1.0,0.2737,0.0414,0.0153,0.0,0.986,0.0,0.8702,0.097,0.5253,0.5158,
crohot,4d4f1ba801,5,forest,13,316.4,30.2324,0.3154,0.1435,0.1738,1.0,0.1315,0.1285,0.4724,0.0,0.4169,0.0,0.8702,0.097,0.5253,0.5158,
crohot,4d4f1ba801,5,forest,14,1062.6,30.2324,0.7929,0.1991,0.9463,1.0,0.7713,0.086,0.0322,0.0,0.9728,0.0,0.8702,0.097,0.5253,0.5158,
crohot,4d4f1ba801,5,forest,15,351.9,30.2324,0.0,0.0,0.0,0.5948,0.0,0.0,0.5,0.0,0.0,0.2026,0.8702,0.097,0.5253,0.5158,
crohot,4d4f1ba801,5,forest,16,622.9,30.2324,1.0,0.1919,0.0,1.0,0.0,0.1919,0.596,0.0,0.0,0.0,0.8702,0.097,0.5253,0.5158,
crohot,4d4f1ba801,5,forest,17,671.7,30.2324,1.0,0.0903,0.0723,1.0,0.2689,0.0864,0.5057,0.0,0.2689,0.0,0.8702,0.097,0.5253,0.5158,
crohot,4d4f1ba801,5,forest,18,617.2,30.2324,0.6498,0.1259,0.0287,1.0,0.1101,0.1237,0.5468,0.0,0.1695,0.0,0.8702,0.097,0.5253,0.5158,
crohot,48a594f8b5,5,forest,0,813.9,31.0039,1.0,0.3072,0.9731,1.0,0.9865,0.1278,0.0176,0.0,0.9865,0.0,0.8702,0.1391,0.4942,0.5811,
crohot,48a594f8b5,5,forest,1,386.9,31.0039,0.9814,0.2205,0.9686,1.0,0.9659,0.0924,0.0191,0.0,0.9842,0.0,0.8702,0.1391,0.4942,0.5811,
crohot,48a594f8b5,5,forest,2,688.4,31.0039,0.667,0.1811,0.7435,1.0,0.5752,0.1003,0.1515,0.0,0.8623,0.0,0.8702,0.1391,0.4942,0.5811,
crohot,48a594f8b5,5,forest,3,454.3,31.0039,0.1049,0.0718,0.4402,1.0,0.0696,0.0528,0.3,0.0,0.6634,0.0,0.8702,0.1391,0.4942,0.5811,
crohot,48a594f8b5,5,forest,4,347.4,31.0039,0.4214,0.18,0.5805,1.0,0.321,0.1173,0.2475,0.0,0.7619,0.0,0.8702,0.1391,0.4942,0.5811,
crohot,48a594f8b5,5,forest,5,1100.4,31.0039,1.0,0.1234,0.1359,1.0,0.3687,0.1134,0.4854,0.0,0.3687,0.0,0.8702,0.1391,0.4942,0.5811,
crohot,48a594f8b5,5,forest,6,463.9,31.0039,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.8702,0.1391,0.4942,0.5811,
crohot,48a594f8b5,5,forest,7,619.4,31.0039,0.0,0.0,0.0,1.0,0.0,0.0,0.5,0.0,0.0,0.0,0.8702,0.1391,0.4942,0.5811,
crohot,48a594f8b5,5,forest,8,225.0,31.0039,0.0,0.0,0.4303,0.0,0.0,0.0,0.2848,0.5709,0.0,0.2848,0.8702,0.1391,0.4942,0.5811,
crohot,48a594f8b5,5,forest,9,721.0,31.0039,0.0,0.0,0.0,1.0,0.0,0.0,0.5,0.0,0.0,0.0,0.8702,0.1391,0.4942,0.5811,
crohot,48a594f8b5,5,forest,10,608.1,31.0039,0.0,0.0,0.0,1.0,0.0,0.0,0.5,0.0,0.0,0.0,0.8702,0.1391,0.4942,0.5811,
crohot,48a594f8b5,5,forest,11,555.2,31.0039,0.5433,0.1651,0.0,1.0,0.0,0.1651,0.5825,0.0,0.0,0.0,0.8702,0.1391,0.4942,0.5811,
crohot,48a594f8b5,5,forest,12,286.3,31.0039,0.2584,0.0863,0.0,1.0,0.0,0.0863,0.5431,0.0,0.0,0.0,0.8702,0.1391,0.4942,0.5811,
crohot,48a594f8b5,5,forest,13,762.0,31.0039,0.2531,0.0784,0.2477,1.0,0.126,0.0667,0.4056,0.0,0.4977,0.0,0.8702,0.1391,0.4942,0.5811,
crohot,48a594f8b5,5,forest,14,459.9,31.0039,0.5185,0.2723,0.0,1.0,0.0,0.2723,0.6362,0.0,0.0,0.0,0.8702,0.1391,0.4942,0.5811,
crohot,48a594f8b5,5,forest,15,111.1,31.0039,0.0,0.2543,0.0,1.0,0.0,0.2543,0.6272,0.0,0.0,0.0,0.8702,0.1391,0.4942,0.5811,
crohot,48a594f8b5,5,forest,16,106.7,31.0039,0.0,0.1533,0.7382,1.0,0.0,0.0854,0.151,0.0,0.8592,0.0,0.8702,0.1391,0.4942,0.5811,
crohot,48a594f8b5,5,forest,17,1020.5,31.0039,0.8859,0.1765,0.0024,1.0,0.0435,0.1762,0.5868,0.0,0.0491,0.0,0.8702,0.1391,0.4942,0.5811,
crohot,48a594f8b5,5,forest,18,521.7,31.0039,1.0,0.2807,0.9998,1.0,0.9999,0.1123,0.0001,0.0,0.9999,0.0,0.8702,0.1391,0.4942,0.5811,
crohot,da5dce7c89,5,forest,0,372.7,25.6033,1.0,0.1785,0.4533,1.0,0.6733,0.13,0.3222,0.0,0.6733,0.0,0.8702,0.1241,0.4091,0.4958,
crohot,da5dce7c89,5,forest,1,363.4,25.6033,0.2565,0.2414,0.8756,1.0,0.24,0.1146,0.0772,0.0,0.9357,0.0,0.8702,0.1241,0.4091,0.4958,
crohot,da5dce7c89,5,forest,2,471.3,25.6033,0.0,0.0957,0.6627,1.0,0.0,0.0576,0.1848,0.0,0.814,0.0,0.8702,0.1241,0.4091,0.4958,
crohot,da5dce7c89,5,forest,3,529.5,25.6033,0.5391,0.1692,0.1936,1.0,0.2372,0.1496,0.4714,0.0,0.44,0.0,0.8702,0.1241,0.4091,0.4958,
crohot,da5dce7c89,5,forest,4,1200.9,25.6033,0.2357,0.1484,0.0732,1.0,0.0638,0.1419,0.5322,0.0,0.2705,0.0,0.8702,0.1241,0.4091,0.4958,
crohot,da5dce7c89,5,forest,5,544.7,25.6033,0.0563,0.0,0.0,1.0,0.0,0.0,0.5,0.0,0.0,0.0,0.8702,0.1241,0.4091,0.4958,
crohot,da5dce7c89,5,forest,6,485.4,25.6033,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.8702,0.1241,0.4091,0.4958,
crohot,da5dce7c89,5,forest,7,511.7,25.6033,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.8702,0.1241,0.4091,0.4958,
crohot,da5dce7c89,5,forest,8,359.4,25.6033,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.8702,0.1241,0.4091,0.4958,
crohot,da5dce7c89,5,forest,9,702.2,25.6033,0.0,0.0,0.0,0.4834,0.0,0.0,0.5,0.0,0.0,0.2583,0.8702,0.1241,0.4091,0.4958,
crohot,da5dce7c89,5,forest,10,521.2,25.6033,0.0,0.0,0.0,1.0,0.0,0.0,0.5,0.0,0.0,0.0,0.8702,0.1241,0.4091,0.4958,
crohot,da5dce7c89,5,forest,11,321.0,25.6033,0.0,0.0,0.999,1.0,0.0,0.0,0.0005,0.0,0.9995,0.0,0.8702,0.1241,0.4091,0.4958,
crohot,da5dce7c89,5,forest,12,604.6,25.6033,0.0,0.0,0.0,1.0,0.0,0.0,0.5,0.0,0.0,0.0,0.8702,0.1241,0.4091,0.4958,
